clean_text,category
Wild Life in the philippines is really bad The government doesnt really care about it It has been years since the tamaraw has been put into do not hunt list but their numbers are still decreasing because Filipino  will hunt them for money  its better for us not have anything since we dont really treasure them anyway,N
822 poor whale shark,N
HAHAHAHAHAHA,P
Good to know that they have a rare animal in the Phil,P
Great information video,P
Beautiful  video,P
My favourite philipine eagle i want to make a pet in my future if possible,P
This dude said  moose deer Lol,P
I LOVE THE PHILIPPINES,P
PHILLIPINE  FOREVER WOOOO MY COUNTRY,P
i live in philippines and the beach is so nice,P
Im glad im in philippines,P
So sad you didnt include philippine sea cows,N
Hehehehehehehehehehehehehehehe,P
Im glad Im in the Philippines,P
"My father owns a breeding pair of peacock pheasant He takes very good care of them and keeps them warm during the winters BIG MONEY birds and they are BEAUTIFUL Hard to believe Mother Nature can be so artistic

Edit I need to visit the Philippines I wanna swim with whale sharks and see a Philippine eagle",P
WowI love Philippines,P
Sadly many of us Filipinos doesnt know the word conservation Many has the taste for exotic or bushmeat We even have red jungle fowl and wild ducks endemic in this country but they are overhunted and dwindling in numbers Even Philippine cobra aint exempted for the meat trade This is why if Americans want to stop hog and phyton infestation in the US send Filipinos Theyll eradicate them in no time,N
"as a Filipino myself I can say that the Philippines is absolutely beautiful

We have delicious and yummy food 

 I recommend you all to go to the Philippines",P
Proud to be a Pilipinoo,P
wow im proud to be a Philipino,P
HAHAHAHAHHAHAHAAHAHAHAAHAHAHA  MARITES AND CHISMOSA HAHAHAHAHA XD,P
Gagi HAHAHAHA,P
Im from the philipines but i never so a bird so cool,P
How come I havent seen a croc yet in the philipines and Singapore LOL,P
Im from Phillipines and my fav wild animal is tarsier cause its cute ahahahah,P
Proud to be born in the Philippines,P
Never knew my country had such beautiful creatures,P
Cool thing,P
its only beautiful without the foreigners nope thats not phillippine eagle  thats a Austronesian Eagle,P
Now that was cool,P
Im proud to be pinoy,P
I love Philippines,P
The moment he said known for itsdelicious fruits showing fruits that ARE NOT grown in the Philippines this video lost all credibility,N
hahaha now mayroon ng new specis of chismusa it is called maretis,P
Wait Im from Philippines bruh hahaha gago,P
Im from pilipines im good and i love speaking english,P
Well Thats Cool,P
Wow interesting,P
We feel so proud to mention that we have been sucessful in bring back the species from the brink of extinction But we never feel ashamed to push them to the brink of extinction in the first place,P
Top10 Yes they are not rare They are overspecies hahahahahahahah,P
I cant believe that there are beautiful and cool animals in my country I havent seen My birthday is at april and were going to boracay a beach so I cant wait to see whale sharks,P
I find so many rare animals here in philippines i dont know their name but theyre beautiful and cute,P
The first time I saw the Philippine eagle I was in awe of its beauty and grandeur,P
Thank you for this video its a shame that us i mean most of the Filipinos havent even encountered any of these pokemons lol cus they look so mystical like the pokemons they are all dangerously beautiful,P
thank you to share our Animal in Philippines  God bless,P
Numbah 1  fellaz hahahahaha,P
All animals is amazing,P
I seen the bird in the thumbnail its so cool to see,P
too bad the majority of filipinos dont really care about animals mistreatment of animals and pets is normal here,N
Ha Ha Ha Ha The chismosas are not a rare wildlife breed they are domesticated primates usually married to  lasinggero and wifebeater monkey,P
Beautiful wildlife,P
"Love these kind of videos
You should try
Animals in turkey iran egypt etc",P
Best video ive seen today thank you so much,P
I love the Whale Shark,P
Great i live in piliphines,P
I loved it,P
Thank you for you im Filipino in I well support you,P
nice i live there,P
good video,P
Yeeyyy its more fun in the Philippines,P
Lol I tripped laughing when he said move aside bald eagle heres a bird that actually managed to keep its hair,P
im in the philliphins LOL,P
I love philippines from  germany,P
Philipine pride rises,P
Thank god  i was born philipines,P
Omg I love that peacock,P
cool i live in the Philipines,P
Dinagat cloud rat So beautiful looks like a mini panda bear,P
Proud to be a Filipino,P
BtwMy family was born in Philippines and I cannot believe they have one of the most exotic creaturesAndNot to mention I wish I was swimming in the Philippines  ocean right now,P
I am so glad to have these as my native fauna,P
Im a proud Filipino in Mindoro,P
Wow so good thats my country,P
Im proud of myself as being a filipino,P
Well I dig for our Philippine eagle Thanks for all those who value their limportance I totally support all projects for tje preservation of this magnificent bird Protect their habitat too,P
im a proud filipino,P
Proud pilipino here Thanks for sharing,P
And all of them is endangered so sad,N
Good thing I live in phillipines,P
Thank you so much for making a video about some of the strangest animals here in our country and introducing them to the world As a Filipino I really appreciate this,P
"Thanks to the Great Creators Jah amazing species in this mother earth
Compliments sir for uploading video",P
As a filipino myself im proud to live in the phillipines,P
Ty for the compliment,P
Proud to be Filipino,P
Hello everyone welcome to our country philippines enjoy  watching here from Philippines,P
I proud  of this  video and thank  u to exploring  about  the Philippines native  animals,P
Nice video,P
Philipines is the best,P
Ahh thank you for saying my home is beautiful,P
Proud Filipino here eher,P
I live Philippines and I am really lucky to live in Philippines   love ur vedios by the way,P
wow philipihhines is awesome,P
Thank God I was born in Philippines lol,P
Philippines is the best,P
I think the peacock is so cool,P
"Well thats my country 
PROUD TO BE A FILIPINO",P
Lucky to be philippines,P
Im a pilipino so i whach this vid,P
Im from phillipines and i Love my country,P
"We love Philippines I live therei like animals I think i see some of those animals but some are not
Maganda sila lahat  Maayo sila XD",P
Theres a group called the Philippine Eagles My father just joined and was soo happy,P
i already saw this ones in philipines plus i live there O v O,P
Im proud to be Filipino,P
"Galing














Awsome",P
Im glad I was born in the philippines,P
I live in Philippines my favourite is the second one,P
Nice I love them and Filipin,P
And im proud to be in Phillipines and be a Filipino  UU,P
Im proud that im filiphino Thank you for telling me,P
im happy i live in the piliphines,P
Im proud that Im a filipino,P
Proud to be Filipino,P
ive gone to a crocodile park i like the croc,P
I mean I live in Philippines  its so beautiful,P
i like ur videonew sub here,P
Im so proud to be on Philippines,P
Im literally so happy that you said my country,P
Im so proud that we have that animals in Philippines,P
oh my a tarsior is so cute,P
PROUD TO BE FILIPINO,P
I like parrot,P
Im in cebu and my favorite pet is philippines eagle,P
Proud To Be Filipino,P
Thanks for the Very inspiring information about the rare animals that found in our country,P
I love the crocodile,P
i was in philipines lol,P
wow thanks for saying that im in phil,P
Awesome I like all the birds tarshier  the whale sharks Thanks for sharing this video,P
Hahahahaha butanding panga,P
Hahahahah butanding lol so funny,P
Haahhhaahh,P
Cool There are so many beautiful birds in the Philippines Stay tuned for more Thanks so much for watching and sharing your thoughts,P
Philippine is so beautiful I hope some day people will explore are country,P
Omggggg thank u I live there,P
Thanks so much for watching,P
Haha Thanks for watching,P
byud4699  I agree because I grow up living with cops coz were family of cops and soldiers and because of that I always see a good cops,P
Ill agree Very accurate,P
Great content sir watching from southern leyte Philippines,P
Im a Filipino and Im happy to be a Filipino,P
"Lol

Looks like nobita in doreimon",P
Well the sad thing is that tarsiers are endangered,N
Wow are you like philippines,P
Lucky for me i live in the philipines,P
I love my native land  Theres lots of animals you failed to mention,P
"Very interesting animal and I love the Philippine Eagle

Greetings from me half Rossiya and Indoneziya",P
I like the dinagat bushy  tailed cloud rat most,P
I love you too,P
Im eagle i love you too,P
Ikr I also love the Philippine eagle The hairs so fluffy and cute,P
Its very cute Im Aussie so I find most animals cute lol,P
I was lucky enough to see the Philippine Eagle in a Rainforest park It just stared at me My kid self got scared and walked away,P
"830 
Whale shark is my fav",P
This is the first time I have watched this and its great and interesting,P
Oo IIIGAN City yes its beautiful fairy very nice 5000 years the culture God bless,P
I like this video presentation It is interesting and wellnarrated I would like to see a video presentation on natural products in the Philippines like civet coffee wild fruit etc,P
ooo cool i live in there,P
Nice cool im a philipino so i like that,P
Cool no time stamps,P
As a Filipino myself we are glad to be noticed by the Americans,P
Sadly philipine eagles are hunted down cause of their feathers they are endangered animals,N
Amazingly beautiful,P
I love Filipino cause I am Filipino,P
I love going to the Philippines but i hate mosquitoes Im Filipino,P
Amazing country and amazing people,P
True its really fun here Im I filipino and its fun really,P
yea its fun to travel in the philipines but they are body shaming homophobes and i live in the philipines,P
Beautiful Philippines,P
Philipines thank you langunge  SALAMAT PO,P
"I love this video so much because it talks about the Philippine animals 

And also Im pilipino",P
My country wins again AHAAHHAHAHAAHHAHA Philippines wins EVERYTIME,P
We have tamaraw in the dum,P
you miss one tabon bird also talking bird kiaw,N
Wow its my first time about palawa pickak Beautiful,P
"Tarsier and Philippine eagle are my fave
Ive seen Philippine eagle in real life and theyre so beautiful",P
My fav animal is the Philippines mousedear  ive seen one I live in the Philippines,P
IDK po pero di yan rare animal HAHAHAHAHA makita yan kahit saan po,P
"I love all animals
Addilove all countriesfruits",P
ANG GANNDASO BEAUTIFUL,P
Okay tamaraw,P
filipinos halo,P
Wow that peacock was so beautiful,P
AYO IM IN PHILIPPINES AYO ILL FIND SOME SHEEEESH,P
Gwapo talga ng Philippine eagle HAHA,P
Thank you that you apreciate Philippines beuty,P
"We have similar in Australia Flying fox its a bat and sugar glider possums
Philippine night animals are not as loud or scary sounding as Australian ones lol sleep better over there here you hear sounds like demons but its just koalas and possums",P
Ima a filipino ha filipino forever,P
So proud I was born and raised in El Nido,P
As soon as I saw it I was like omg this is in my home country,P
I think whale sharks are more places than the Philippines but for the other animals WOW The eagle and little deer seemed really cool the others eh,P
I live in the philippines yea its cool,P
"Every Filipino must have Subscribed to you


Like me          Cause im a filipino",P
You pronounce palawan paa laa waan,P
I almost felt like a celebrity cause i live in the Philippines,P
Love from India,P
Im so lucky that im on P H,P
"1
if its not a lemur what is it You didnt specify that",N
You sead Palawan mindoro all wrong,N
824 what the hell are those people stepping on the whale shark and why is it on the shore,N
Philipine eagle are rare beacuse it got a hair and american eagle is bald,N
Bruuuh why did they do that to the whale sharkthey ride on it its illegal,N
I guess Im lucky to be living here in the Phillippines,P
Then is it good to spot Ph eagle on the end of the sierra madre mountains with human civilization bcs their number are finally increasing I was worried for adult ph eagles they need territory and they dont share I was worried it might be hunted and it has no home,P
me realizes im from the philippines which means i get to see that beautiful animal bird LOL,P
Like walking in a hurricane,N
"I live in Philliphines and i appreciate you guys loving our country

Proof im from Philiphines  um hindi ako alam anong isasabi",P
Everybody is calling Philippines trash even tho if they live in America they produce more than dozens of fuel,N
They can be only found on Philippines while China is slowly claiming the Philippines as its territory,N
Its a mouse deer not a moose deer,N
Me in Americans Sad noises,N
Im so surprised that manananggal isnt here,P
I had to watch on mute time to hire a new narrator,N
OoOooOoOOOO I am  goin to see it,P
Filipinos are hella friendly,P
But dont let that fool you But Dont Let That Fool You,N
"i frickin luv phillipines

             an indian",P
Me when I was a kid sawing a eagle i was soo proud and I realize that it was just a crow,N
yay my home country,P
Filipins are so beautiful,P
Nice video man hope u make more about animals and stuff,P
Proud filipino here,P
Ass he said its fun in the filipines no its not I live in tne philipines and its boring,N
Lol thats pokemon,P
Those are pokemon bruh u must be in the wrong dimension,N
"Filipinoswe have many raaaaaare animalsss
SerbsWE GOT TITO",P
Who dares summon the Filipino army,N
What fascinating animals. In fact in Indonesia theres also one of this unique animal but unfortunately there are only a few of them. They are called babi rusa. They are some sprt of deer thats quite huge and has teeths extending from their mouth. Mostly it mean Deer that resembles a Boar or a wild warthog. But Im very fascinated on the peacockpheasent that phillipines had. What exciting archipelago country. Ive always wanted to go there to see the beautifull tropical islands.,P
i have been in philipines 4 years now and yeet i still dint know this types on animals exist,N
Thats it Im gonna sub,N
IN OUR COUNTRY AT THE END OF THIS Uhhh virus I WILL ASK MOM IF WE CAN GO OUTTTT YAYYYYY,N
A bird who manage to keep his hair Thats funny,P
Top10DailyWildlife  Oooooh Explicit,P
we should protect all of these amazing creatures at all cost,P
Wow i didnt even know the creatures even tho im a Pilipino person,P
"Only in the PHILIPPINES 
More fun in the PHILIPPINES",P
Beautiful bitches,N
Im from Philippines and so many aswsome animals,P
Well done Great list of compilation,P
Wow I didnt know thx for telling me now excuse me while I be a proud Filipino living in the Philippines D,P
Wow palawaan pick,P
Haha may cokattoo dn kami tsaka ung tamaraw endangerd na yan pero hindi rare ang tamarawall of that are endangered,P
Im Filipino and I really like Russia,P
I like in philippinse so i like them all,P
DAAANG I didnt know these RARE animals lives in our DANG place Im still 9 so thats why I still dont know these rare animals lives in our place and i can speak tagalog and i kinda know the others tho,N
Love Philippines  well I love every island and its weather,P
Crocs are not that rare here look at some politicians,N
Bobooooooo im from   philipines our country is bootifulll UWU EHEHEH,P
I am now happy I watch this vid because I live in Philippines,P
thank you from the philipines,P
Im Philippines I see that eagle I like that,P
I like it how he keeps mispronouncing stuff,P
WHO DARES SUMMON US,N
Filipino gang here,N
two legged crocs,N
thats an insult to the crocs though,N
Hahahahaahah true,P
Like DDShits,N
I have on my house parrot its cute and rabbit,P
Di ko Alam hahha,P
Wooooo im a pilipino woooooo im proud,P
Yeeeeeeeeee my country is here,P
Thank yougreat video,P
"Wait the mousedeer is endangered
They just appear in our backyard when we throw away leftovers fruit and veggies my mom considered them as pest lol",N
The longest crocodayl here in Philinse is lolong and hes 202feet loong sadly he died,N
Glad you liked it,P
Youre very lucky that you saw one,P
Thanks for your suggestion Well definitely look more into that species,P
I live in Philippines and Im proud,P
He pronounced mouse as moose,N
Its Mousedeer not moosedear,N
Why does he narrator keep saying MOOSE DEER  when he clearly said MOUSE once during the introduction Its MOUSE DEER not MOOSE DEER,N
Youre not supposed to touchswim near the whale shark Its against the law here in the Philippines,N
Hahaha  true their are crocodile,P
Hahaha animal,P
I disagree politicians species of crocs or crocodile politicos philippinensis are rarethey are everywhere from congress senate and every local government and majority live in beautiful cages called mansions,N
I know right,P
I know right,P
I know right,P
I know right,P
I feel proud to be a Filipino,P
You forgot the visayan leopard cat theyre about to go extinct,N
Great video Ill make sure to visit animal sanctuaries when I finally go back home,P
Say hi if your a Filipino,P
"america we have the best beaches
phillipines hold my beer
to be clear its just a meme",P
"theres no tarsier in your country
our eagle is biiiiig",N
Nice Tagalog accent,P
im actully filipino,N
Baluga HAHAHA,P
I know right,P
Thanks so much for watching,P
Thank you We tried our best,P
only found in Philippines not entirely accurate get your fact right,N
HALLELUJAH I WANT TO HUG THEM ALL,P
Ay I live there,P
Proud to be Filipino,P
MABUHAYYYYY,P
aswang po sana,N
We have so many island if China isnt getting it,N
I didnt know there are these animals in my country,N
great another Filipinobaiting content,P
Philippines best,P
"Not all of these animals are not that rare lol


Btw im from philipines",N
I like these animals very much im a filipino so i know most of the animals,P
Why u pronounce moose deer U already put the name mouse deer and u pronounce moose,N
Proud filipino here,P
Good thing I live there and born there,P
Proud to be a filipino here,P
Sorry but thats so unique Cuz we have mouse deer flying lemur in Java and tarsius in Sulawesi Not a good choice i think,N
umm not to be a bummer but the pronounciation of the mouse deer was really mouse like a rodent,N
The peacock look bird is amazing,P
Awesome content keep it up,P
Palawan peacock  so pretty feather,P
My favorite animal in my world is all,P
Where is digong judity The dog of china,N
823 and why are they enjoying that Seriously,N
Flying lemor ehh kabag yan ehh,P
Proud to be Filipino,P
thanks for this video,P
They say pelanduk here in Malaysia lol,P
I respect you for not putting fun,P
Thanks so much Mabuhay,P
aaaaaaw thx man im philipinas to thx,P
"Sad fact the reason why tarsiers cant be pets is they suicide by hitting their head on some thing because when they hear sounds they get stressed and kill themselves and become endangered
Edit they are really sensitive to sounds and tourists must keep their voices down",N
Some of them you pronouned wrong and Im a fillipina tamarawas are use for farming farmers un them,N
Theres actually a song that my teacher told us bout that and why they dont really want people to make loud noises cus the do suicide,N
"Thats not true dont listen to him tarsiers   
Are in dangered animals and people from my country are killing them l know all this bacause I am from the Philippines",N
they say that so tourists and people dont disturb the animals but they dont commut suicide,N
"steven7297  Nope  No matter how you use it on its own suicide is a noun  You dont say she suicide or the pressure to perform at the highest level made her suicide  or the stress from captivity made it suicide  You need to add commit or committed to make it proper  She committed suicide  The pressure to perform at the highest level made her commit suicide  The stress from captivity made it commit suicide

The only time that you can use suicide as a verb and still not preferred or advisable is if you add ed at the end Sarah suicided on the bleakest of Washington winter mornings",N
Fun fact You lied,N
That aint fun,N
Its not fun fact its SAD fact,N
American making dollars,N
Yeah Ive been there and its so quiet when you will jumpscare them they will immediately die,N
When will pinoybaiting stops,N
Yow my country just names animal for no reason,N
Excellent video But please remove the footage of the kid walking on the whale shark Others might mistakenly think it is safe thing to do,P
Sad fun fun,N
Thats why im proud to be a filipino,P
"i hate you why did you post a video of philippines i live in philippined
s",N
My favourite animal is Philippine eagle,P
its More Fun in The Phillipines,P
my favorite philippine animal is tiktik,P
U forgot one its a bird but in the middle of its body is a heart,N
Ive only seen Philippine Eagle flying when i was a kid Thats a long time ago Haha,N
the pronunciations are killing my ears,N
Thanks so much,P
"More like a pain in the ass but its in the head
I have a native language therefore I find them fine to pronounce",N
203  206 poor editing,N
Now I like Palawan pheasant there freakin beautiful,N
Be proud to be an Filipino,P
I always knew that PhilippineEagle would be on top,P
I love how the narrator pronounce Tamaraw We actually pronounce TaMaRao But you did great,P
poor bird amp hahhahha,N
Haahaaha philippine manananggal known as Philippine vampires,P
HAHAHAHAHA,P
Hindi yan bird half bodied vampire na nag Kakain ng mga baby tao hahaha,P
Biset hahaha,P
Manananggal ng ano Ha ha,P
very true,P
Eh paano naman yung mga Philippine Marites,N
Poor bird daw,N
AHAHHAA  poor bird di pinoprotectahan,P
Yes there are many sex maniacs and rapist here And not only that a lot of Xmen too they are mutants that suck and weaken the strength of the male victims,P
norshiellabucali8232  joke yan,N
Thanks for including our country in ur content,P
"When i heard the guy said FLYING LEMUR my brain instantly thaught of momo





If you know avatar the last airbender you will know this",N
Great content,P
Lol your fact about the 9ft crocodile is sooooo wrong  go search lolong the crocodile and get your facts game on point buddy,N
My favorite animal would be the crocodiles and pigs in suits playing politics at the expense of us locals,P
bruhh last time when my cousins birthday came outwe go in a resort and sunddenly after swimming we cant sleep cuz of STUPID LOUD PEACOK and i dunno why there shouting like a eagle dunno why,N
heart bleeding dove too,N
Beautiful animals,P
poacher hunters hehe hehehe,P
Thank you so much,P
Not sure Its sad,N
It can hurt the sharks,N
I am looking for a comment like this Its also a disrespect,P
USA say Palawan  polowan haahahahaua,P
So unfortunate,N
So cute Id love to see them,P
Yes Were sort of a newer channel,P
Im from oriental mindoro proud representing tamaraw,P
my favorite animal in my country the philippines is my mother in law animal nga dako,P
Its so sad that the philipine eagle died,N
"Do you know what is the most dangerous animal in Philippines














CHICKEN
A MOTHER CHICKEN",N
We only focus on wildlife such as plants and animals on this channel Our other channel focuses on places and destinations and we may feature the caves of the Philippines there Check it out its called Earthbound You can also find a link to the channel featured on our channel page,N
thank you po laying rare creatures na man ko dara,P
Wow the Philipines is where I live and I didnt know we had these animals,P
I like your story,P
"Amazing philippines

also in philippines

BTS BIOT",P
Thank you for making this video proud of my country,P
"I think there are more endemic species of animals here that are waiting to be discovered Problem here in our country is the lack of budget for research or it is not really proriotized by the government
I myself discovered some species of FLYING LIZARDS here five to be exact that I believe is not named or registered yet since I cant find it in any books nor the internet
They differ distinctively on their color and shape The biggest kind is grey with darker patches and having a crest on top of its head The smallest kind are dark brown to rusty red and often found in groups of 5 to 10",N
Thanks for the correction and the comment Yes we realized we used the wrong types of fruits after we had already uploaded,P
Thats so interesting Yes were aware that the Philippines has more to offer in terms of wildlife Every year there are new species of animals endemic to the country being discovered,P
Im surprised I didnt see my sister in this  Jk,P
You forgot my sister she is a very rare species of chismosa,N
823 Wtf did that boy do to the whale shark fck,N
"Sad Fact Rare animals that can only be found in PH are endangered 
Protect animals at all costs",N
I think its as sad as pinapatay nila dahil akala nila nagtatawag ng malas or demonyo Tulad nalang nong storya sa KMJS na ibon na nag siglo ng kamatayan daw,N
Kaya nga rare eh hahaha,P
Hindi rin sa mga kapitbahay madami ka pa rin makikitang hayup lalo na sa mga mag asawang nag aaway,N
no one cares,N
Oo totooyea true,P
Either them being hunted or not breeding or we humans hunt them,N
nitrobeam6927  That was a good idea,P
yes yes yes,P
the great buwayas,P
Monkeys not crocodiles  Makes no sense,N
Lol Theyre not extinct They are thriving,P
"Whos stepping on the whale shark
Its a big no no",N
Luckily I live in the Philippines,P
Philippines has 7107 islands not 7641 Lol,N
Pr0uD fILiPIn0 h3Re,P
My most favorite philipphine animal is whale shark and philipphine eagle kasi half ako pilipino at half amerikano pero nakatira ako sa philipphine xd,P
Its more fun in the Philippines,P
Thanks for watching,P
Thanks for watching Im half as well living in Canada Mabuhay,P
Thanks for the comment,P
Hahha funy some can be found in sulawesiand sumateradont make fake theme,P
Delicious fruits shows fruit that cant be found natively in the Philippines,P
Thanks for watching,P
So unfortunate,P
Thanks for your comment Hope you enjoyed the video,P
Thanks for watching,P
Thanks for the comment These are species specifically endemic to the Philippines however some of them are from a family with multiple genus that can be found in other countries They look very similar to each other but are not the same species,P
If you kill the poachers you kill the whole population,N
avocato1836  ur a narcissist,P
sharpzeez8566  hahhahahaha Ill take that as compliment,P
Oo nga noh pero pupunta tayo sa impyerno pag ginawa natin yon,N
Thanks for your comment Yes were aware of lolo,P
Thanks for watchng I think those are quite abundant,P
Thanks for watching,P
But theyre thinking hot rice and Adobo,N
You forgot about one of the most coolest animals found in the Philippines and it is The giant goldencrowned flying fox which is a mega bat AKA a human sized bat BUT it is totally harmless and it only eats fruits and pollens,N
Funny how the Filipinos here keep mentioning how their neighbors should be part of of the list,P
WE DONT HAVE RASBERRY BLACKBERRY KIWI AND EVEN GRAPES SHOULD HAVE MANGO JACKFRUIT AND OTHER LOCAL FRUITS INSTEAD,N
Great video but why are whale sharks on the list they are found worldwide,N
Thanks for watching,P
Thanks for watching,P
Wow Interesting Theres more on giant bats in one of our upcoming videos about the Philippines but we will definitely check out this species Thank you,P
we neither have pumpkins but video has clips with some animal being fed with pumpkins,N
Thanks for watching,P
Thanks for watching,P
So glad she was rescued,P
i like tamaraw,P
thx for doing a video with my country in it,P
Me Filipino D favorite animal is the Philippine Eagle,P
I never thought politician get in the list so proud get more recognition please,N
My favorite Philippine animal is my neighborhood they are the best animal in the world,P
Ha that what u get tiktok talk thrash on my country  and sayying usa i s king and pilipines sucks,P
Thanks for watching,P
Thanks for watching We heard about the story after we uploaded the video already Lolong comes from a species not endemic to the Phlippines,P
Nice Thanks for watching,P
hahaha But theyre not rare,P
Hahahahahahhaha boang,P
HAHAHAHAHHA SIRAULO,P
Hahahahahahaha,P
Isnt chismosa word for machismis,N
Hahahahahahha,P
Hahahha My mom belongs to this species,P
Haha true chismosa tawag dyan,P
Hahahahhaajajahha,P
Not so rare lol I see everywhere from it xD,N
Hahahaha true,P
Thats not an rare animal the meaning of chismosa is Gossip,N
"AHHAHAHAHA 
Chismoso",P
Nope theyre not they can be found in Streets and Stores,N
Hahahaha chismosa ay tao,P
Omg I feel so stupid for actually believing that chismosa is actually an animal,P
Hhahaahhaah theyre more capable Than CCTV,P
Not just  in the Philippines We have an infestation at work,N
Hahahhahahaahha chismosa is gossip they have very good ears hahahahah,P
Ahahahah madami yan,P
